,name,price,Unnamed: 2
139,هندزفري بلوتوث گردني UFLEX,"2,850,000",
140,اسپيكر A1,"12,500,000",
141,پاوربانك BOROFONE BT23 10000,"3,500,000",
142,رينگ لايت LED,"2,550,000",
143,كيبرد اي پد,"1,200,000",
144,رينگ لايت AN26,"3,580,000",
145,گارد تبلت,"1,900,000",
146,هولدر SH-3100,"800,000",
147,كلگي ORAIMO E81,"3,000,000",
148,سه تار,"4,500,000",
149,گلس پرايوسي weva,"2,700,000",
150,گارد اكليلي جديد,"4,620,000",
151,گارد اسكوييد گيم,"4,400,000",
152,كاور گودزيلا,"1,200,000",
153,كاور سهند,"1,200,000",
154,گارد لوكس paika,"11,760,000",
155,نوكيا 110,"12,000,000",
156,نوكيا 105,"4,000,000",
157,اسپيكر TG 156,"3,780,000",
158,شارژر تبلت,"840,000",
159,كيف پاور بانك چرم,"500,000",
160,اسپيكر DUDAO Y4,"4,000,000",
161,كيف هارد اكسترنال,"700,000",
162,كيف هارد تسكو,"700,000",
163,اسپيكر بلوتوث TG 607,"1,890,000",
164,اسپيكر بلوتوث TG 528,"1,890,000",
165,كله شارژ اورجينال 12POROMAX 20W,"39,200,000",
166,ايرپاد PRO غير اصل,"9,000,000",
167,پاور بانك BOROFONE BT24 MIC 10000,"3,500,000",
168,هندزفري بلوتوث گردني papada A2,"3,000,000",
169,كيف ايرپاد طرح دار,"500,000",
170,شارژر پك پلاستيكي تايپ C,"2,000,000",
171,شارژر پك پلاستيكي اندرويد,"600,000",
172,گلس S21 PLUS,"200,000",
173,گلس S21 ULTRA,"300,000",
174,گوشي سامسونگ A12-128G/RAM4سفيد,"42,700,000",
175,گوشي آيفون IPHONE 13PRO MAX 256G آبي,"468,000,000",
176,گوشي آيفون Iphone 13/128Gآبي,"321,000,000",
177,گوشي آيفون Iphone 11 128G مشكي,"226,333,333",
178,گوشي شيائومي Xiaomi Mi 11lite/128G/R8,"72,900,000",
179,گوشي شيائومي Xiaomi X3 PRO/128G/R8برنز,"68,900,000",
180,گوشي سامسونگ A53/256G/R8مشكي,"235,800,000",
181,,"6,219,259,293",
